,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601318.SH,20211230,50.9,50.99,50.41,50.41,50.81,-0.4000000000000057,-0.7872,427879.89,2167180.06
1,601318.SH,20211229,51.1,51.16,50.52,50.81,50.87,-0.05999999999999517,-0.1179,376469.06,1913669.685
2,601318.SH,20211228,50.3,51.13,50.1,50.87,49.98,0.8900000000000006,1.7807,617358.56,3137430.544
3,601318.SH,20211227,49.96,50.2,49.87,49.98,49.82,0.1599999999999966,0.3212,274701.06,1373481.524
4,601318.SH,20211224,50.19,50.2,49.72,49.82,50.22,-0.3999999999999986,-0.7965,312935.17,1560671.249
5,601318.SH,20211223,50.19,50.4,49.75,50.22,50.18,0.03999999999999915,0.0797,404978.88,2027860.561
6,601318.SH,20211222,50.93,51.0,50.13,50.18,50.84,-0.6600000000000037,-1.2982,425404.66,2143777.014
7,601318.SH,20211221,50.29,51.14,50.28,50.84,50.28,0.5600000000000023,1.1138,393978.78,2004481.927
8,601318.SH,20211220,50.24,50.85,50.2,50.28,50.54,-0.259999999999998,-0.5144,428441.82,2164397.414
9,601318.SH,20211217,51.02,51.4,50.38,50.54,51.2,-0.6600000000000037,-1.2891,539670.33,2741367.544
10,601318.SH,20211216,50.79,51.29,50.5,51.2,50.7,0.5,0.9862,514365.92,2622388.752
11,601318.SH,20211215,50.79,51.08,50.53,50.7,50.85,-0.14999999999999858,-0.295,363832.53,1846757.807
12,601318.SH,20211214,50.9,51.35,50.7,50.85,51.15,-0.29999999999999716,-0.5865,587334.11,2990682.219
13,601318.SH,20211213,51.66,52.5,51.12,51.15,51.22,-0.07000000000000028,-0.1367,918581.48,4747262.45
14,601318.SH,20211210,51.0,51.49,50.9,51.22,51.31,-0.09000000000000341,-0.1754,737706.61,3780503.005
15,601318.SH,20211209,50.36,51.83,50.13,51.31,50.34,0.9699999999999989,1.9269,1249296.14,6402621.864
16,601318.SH,20211208,50.39,50.4,49.9,50.34,50.39,-0.04999999999999716,-0.0992,653544.34,3276622.573
17,601318.SH,20211207,49.5,50.5,49.21,50.39,49.15,1.240000000000002,2.5229,1011501.86,5055319.58
