,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
0,JD,20190904,29.88,30.27,30.29,29.84,29.45,1.46,6568645,197068572.38,30.0
1,JD,20190903,29.45,30.1,30.2,29.4,30.5,-3.44,7635477,226743124.99,29.7
2,JD,20190830,30.5,30.91,31.43,30.36,30.74,-0.78,10090641,309104567.44,30.63
3,JD,20190829,30.74,30.69,31.24,30.63,30.3,1.45,9605387,296540389.08,30.87
4,JD,20190828,30.3,29.7,30.49,29.63,29.92,1.27,6625711,200775647.33,30.3
5,JD,20190827,29.92,30.0,30.3,29.73,29.74,0.61,7959359,238664547.44,29.99
6,JD,20190826,29.74,29.18,29.82,29.08,28.77,3.37,12503981,370101507.4,29.6
7,JD,20190823,28.77,28.9,29.67,28.55,29.49,-2.44,22038391,637751410.51,28.94
8,JD,20190822,29.49,30.57,30.71,29.21,30.74,-4.07,19843266,589628659.69,29.71
9,JD,20190821,30.74,31.67,31.8,30.71,31.42,-2.16,16914434,526614038.9,31.13
10,JD,20190820,31.42,31.49,31.82,31.37,31.58,-0.51,11922778,376224452.07,31.56
11,JD,20190819,31.58,31.92,32.28,31.41,31.29,0.93,15395594,488825628.26,31.75
12,JD,20190816,31.29,30.5,31.45,30.08,30.16,3.75,19520106,606120802.46,31.05
13,JD,20190815,30.16,30.16,30.79,30.08,29.63,1.79,18150762,551908532.11,30.41
14,JD,20190814,29.63,29.7,30.7,29.55,30.66,-3.36,30022930,902042084.26,30.05
15,JD,20190813,30.66,28.64,30.98,28.15,27.16,12.89,46373485,1385115665.05,29.87
16,JD,20190812,27.16,26.8,27.36,26.53,27.1,0.22,20672930,558623997.15,27.02
17,JD,20190809,27.1,27.31,27.41,26.82,27.54,-1.6,8960063,242870535.83,27.11
18,JD,20190808,27.54,27.04,27.63,26.84,26.57,3.65,11652848,319014146.66,27.38
19,JD,20190807,26.57,26.12,26.77,25.84,26.48,0.34,12524047,329855845.08,26.34
20,JD,20190806,26.48,26.91,27.01,26.29,26.17,1.18,11748879,311629628.12,26.52
21,JD,20190805,26.17,26.65,26.9,25.77,28.01,-6.57,23682891,621965009.48,26.26
22,JD,20190802,28.01,28.18,28.34,27.65,28.61,-2.1,14058723,393357431.99,27.98
23,JD,20190801,28.61,29.91,30.6,27.64,29.91,-4.35,23027102,665098718.22,28.88
24,JD,20190731,29.91,30.49,30.5,29.35,30.42,-1.68,11912790,357016702.68,29.97
25,JD,20190730,30.42,30.85,30.99,30.38,31.39,-3.09,8441211,258472421.62,30.62
26,JD,20190729,31.39,31.45,31.45,30.78,31.55,-0.51,10329247,321057766.29,31.08
27,JD,20190726,31.55,31.93,32.01,31.52,31.83,-0.88,5591965,177217238.74,31.69
28,JD,20190725,31.83,32.04,32.38,31.68,32.2,-1.15,7397746,236577742.14,31.98
29,JD,20190724,32.2,31.74,32.33,31.6,31.85,1.1,11972575,383825202.13,32.06
30,JD,20190723,31.85,30.9,31.92,30.84,30.66,3.88,11159520,351306075.29,31.48
