,ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,volume,value
0,001979.SZ,20211231,12.75,13.55,12.75,13.34,12.95,0.39000000000000057,3.0116,386980.17,514872.624
1,001979.SZ,20211230,12.96,13.08,12.8,12.95,12.99,-0.040000000000000924,-0.3079,205861.95,266508.243
2,001979.SZ,20211229,13.17,13.24,12.92,12.99,13.17,-0.17999999999999972,-1.3667,199231.72,260089.685
3,001979.SZ,20211228,13.07,13.25,12.75,13.17,13.18,-0.009999999999999787,-0.0759,367506.44,478478.593
4,001979.SZ,20211227,12.95,13.55,12.95,13.18,12.99,0.1899999999999995,1.4627,375236.43,499211.326
5,001979.SZ,20211224,12.76,13.15,12.52,12.99,12.81,0.17999999999999972,1.4052,290546.38,373959.819
6,001979.SZ,20211223,13.05,13.15,12.7,12.81,13.0,-0.1899999999999995,-1.4615,257947.02,331465.002
7,001979.SZ,20211222,13.05,13.2,12.8,13.0,13.12,-0.11999999999999922,-0.9146,403754.73,525261.715
8,001979.SZ,20211221,12.72,13.25,12.72,13.12,12.68,0.4399999999999995,3.47,530350.51,694199.983
9,001979.SZ,20211220,12.6,12.97,12.48,12.68,12.51,0.16999999999999993,1.3589,394473.19,503455.246
10,001979.SZ,20211217,12.64,12.77,12.34,12.51,12.54,-0.02999999999999936,-0.2392,268575.35,337412.046
11,001979.SZ,20211216,12.43,12.61,12.24,12.54,12.52,0.019999999999999574,0.1597,243328.46,304085.197
12,001979.SZ,20211215,12.35,12.84,12.3,12.52,12.42,0.09999999999999964,0.8052,275080.8,346833.65
13,001979.SZ,20211214,12.33,12.5,12.06,12.42,12.54,-0.11999999999999922,-0.9569,431552.6,529680.638
14,001979.SZ,20211213,12.61,12.78,12.42,12.54,12.62,-0.08000000000000007,-0.6339,420003.21,529199.21
15,001979.SZ,20211210,12.9,13.01,12.55,12.62,13.07,-0.45000000000000107,-3.443,373685.24,475793.74
16,001979.SZ,20211209,12.8,13.28,12.75,13.07,12.78,0.2900000000000009,2.2692,545122.85,709954.67
17,001979.SZ,20211208,12.61,12.82,12.09,12.78,12.53,0.25,1.9952,506027.08,630710.742
18,001979.SZ,20211207,12.99,13.26,12.46,12.53,12.53,0.0,0.0,591941.58,761125.337
19,001979.SZ,20211206,12.85,13.4,12.51,12.53,12.39,0.1399999999999988,1.1299,828364.89,1061010.037
20,001979.SZ,20211203,12.07,12.55,12.05,12.39,12.2,0.19000000000000128,1.5574,392843.95,485628.635
21,001979.SZ,20211202,11.88,12.37,11.83,12.2,12.05,0.14999999999999858,1.2448,469777.51,569104.871
22,001979.SZ,20211201,11.4,12.12,11.4,12.05,11.45,0.6000000000000014,5.2402,541353.49,645507.158
23,001979.SZ,20211130,11.6,11.73,11.3,11.45,11.65,-0.20000000000000107,-1.7167,417336.7,478054.802
24,001979.SZ,20211129,11.65,11.86,11.58,11.65,11.9,-0.25,-2.1008,257291.39,301171.16
25,001979.SZ,20211126,11.87,12.15,11.55,11.9,11.91,-0.009999999999999787,-0.084,367378.79,434037.176
26,001979.SZ,20211125,12.06,12.2,11.83,11.91,12.08,-0.16999999999999993,-1.4073,234160.18,279398.195
27,001979.SZ,20211124,11.37,12.2,11.32,12.08,11.41,0.6699999999999999,5.872,789893.4,949051.88
28,001979.SZ,20211123,11.1,11.65,11.03,11.41,11.1,0.3100000000000005,2.7928,418780.26,476122.109
