trade_date,open,high,low,close,pre_close,volume,change,pct_change,value,ema_fast,ema_slow,diff,dea,bar,MA5,MA10,MA20,MA30,MA48
2010-03-18,4.7422,4.8071,4.7372,4.7671,4.7521,48648.89,0.0149999999999996,0.3156,46430.468,4.770555881658943,4.812383912168115,-0.04182803050917183,-0.03517966756796308,-0.01329672588241751,4.6901600000000006,4.78562,4.819355,4.73632,4.9224625
2010-03-19,4.7621,4.8971,4.7272,4.8671,4.7671,87939.57,0.0999999999999996,2.0977,85237.412,4.785408822942182,4.816436955711218,-0.03102813276903582,-0.03434936060817763,0.006642455678283615,4.71914,4.78962,4.823605000000001,4.739986666666667,4.915383333333334
2010-03-22,4.8721,4.8971,4.8221,4.8771,4.8671,57758.77,0.0100000000000006,0.2055,56113.373,4.799515157874154,4.820930514547424,-0.02141535667326977,-0.03176255982119606,0.020694406295852577,4.776120000000001,4.7861199999999995,4.8321000000000005,4.74615,4.908095833333333
2010-03-23,4.8821,4.8821,4.7721,4.7921,4.8771,56243.79,-0.0850000000000008,-1.7428,54185.596,4.798374364355053,4.818794920877244,-0.020420556522191546,-0.029494159161395157,0.01814720527840722,4.811100000000001,4.77163,4.835595,4.757810000000001,4.896435416666667
2010-03-24,4.7921,4.8621,4.7921,4.8021,4.7921,55717.64,0.0100000000000006,0.2087,53762.908,4.79894753906966,4.8175582600715225,-0.01861072100186245,-0.027317471529488616,0.01741350105525233,4.8211,4.76413,4.834845,4.77047,4.889252083333333
2010-03-25,4.8021,4.8021,4.6972,4.7222,4.8021,71132.94,-0.0799000000000003,-1.6639,67313.476,4.7871402253666355,4.81049468525141,-0.023354459884774137,-0.02652486920054572,0.006340818631543163,4.81212,4.75114,4.82635,4.7768,4.880716666666666
2010-03-26,4.6972,4.8021,4.6722,4.7771,4.7222,66853.48,0.0548999999999999,1.1626,63708.28,4.7855955753102295,4.808021004862416,-0.02242542955218685,-0.025704981270873947,0.006559103437374196,4.7941199999999995,4.75663,4.8203499999999995,4.78446,4.871033333333334
2010-03-29,4.7771,4.967,4.7472,4.9121,4.7771,230152.71,0.1349999999999998,2.826,224153.819,4.805057794493271,4.815730560057792,-0.010672765564521569,-0.022698538129603475,0.02405154513016381,4.80112,4.78862,4.816855,4.799453333333333,4.860416666666667
2010-03-30,4.9071,5.012,4.8721,4.957,4.9121,177377.22,0.0449000000000001,0.9141,176098.005,4.828433518417382,4.826194963016475,0.0022385554009076714,-0.017711119423501245,0.03989934964881783,4.8341,4.8225999999999996,4.8183549999999995,4.81411,4.852295833333334
2010-03-31,4.967,5.017,4.9171,4.927,4.957,128973.4,-0.0300000000000002,-0.6052,128150.271,4.843597592507016,4.833662002793032,0.009935589713983894,-0.01218177759600422,0.04423473461997623,4.85908,4.84009,4.814605,4.822936666666667,4.838864583333334
2010-04-01,4.997,5.3618,4.997,5.2518,4.927,370411.1,0.3248000000000006,6.5922,385591.455,4.906397962890552,4.864635187771326,0.04176277511922599,-0.0013928670529581768,0.08631128434436834,4.965000000000001,4.88856,4.83709,4.8424233333333335,4.832408333333333
2010-04-02,5.1969,5.3068,5.1819,5.2219,5.2518,184349.24,-0.0299000000000004,-0.5693,192659.341,4.954936737830467,4.891099247936413,0.06383748989405369,0.011653204336444197,0.10436857111521898,5.05396,4.92404,4.85683,4.857083333333333,4.8241854166666664
2010-04-06,5.2219,5.4517,5.2219,5.3118,5.2219,282487.6,0.0899,1.7216,302056.018,5.009838778164241,4.92226226660779,0.08757651155645085,0.02683786578044553,0.12147729155201065,5.1339,4.967509999999999,4.876815000000001,4.877236666666666,4.820958333333333
2010-04-07,5.3118,5.3968,5.2019,5.2518,5.3118,144699.98,-0.0599999999999996,-1.1296,152762.189,5.047063581523589,4.946672469081287,0.10039111244230181,0.04154851511281679,0.11768519465897004,5.1928600000000005,5.0134799999999995,4.892555,4.89489,4.823039583333333
2010-04-08,5.2469,5.2868,5.1369,5.2269,5.2518,164480.06,-0.0249000000000005,-0.4741,171378.758,5.074730722827653,4.967430063964154,0.10730065886349838,0.05469894386295311,0.10520343000109053,5.252840000000001,5.055960000000001,4.910044999999999,4.90855,4.82408125
2010-04-09,5.2518,5.3418,5.2369,5.3018,5.2269,140394.4,0.0749000000000004,1.433,148731.434,5.109664457777245,4.992198207374217,0.11746625040302838,0.06725240517096817,0.10042769046412042,5.26284,5.11392,4.93253,4.922206666666667,4.829285416666667
2010-04-12,5.3518,5.3868,5.1869,5.2269,5.3018,149750.73,-0.0749000000000004,-1.4127,157188.781,5.127700695042284,5.009583525346497,0.118117169695787,0.07742535807593194,0.08138362323971013,5.26384,5.1589,4.957765,4.9332,4.834804166666667
2010-04-13,5.2219,5.2768,4.997,5.1019,5.2269,205571.53,-0.125,-2.3915,209878.808,5.1237313573434715,5.016421782728238,0.1073095746152335,0.08340220138379226,0.047814746462882474,5.2218599999999995,5.17788,4.98325,4.937196666666667,4.840529166666667
2010-04-14,5.082,5.2419,5.062,5.1969,5.1019,135757.95,0.0950000000000006,1.8621,140696.335,5.134988071598322,5.029790539563184,0.10519753203513815,0.08776126751406144,0.03487252904215343,5.2108799999999995,5.20187,5.0122349999999996,4.946193333333334,4.850314583333334
2010-04-15,5.1619,5.2469,5.047,5.1019,5.1969,112352.05,-0.0950000000000006,-1.828,115874.635,5.129897599044734,5.035131981077021,0.09476561796771321,0.0891621376047918,0.011206960725842818,5.18588,5.21936,5.029725,4.9495233333333335,4.857497916666667
2010-04-16,5.1019,5.3368,5.062,5.2568,5.1019,203600.98,0.1549000000000004,3.0361,213563.497,5.1494210453455445,5.051551834330575,0.09786921101496926,0.0909035522868273,0.013931317456283926,5.17688,5.21986,5.054209999999999,4.96468,4.869260416666667
2010-04-19,5.2369,5.3418,4.977,5.012,5.2568,284937.06,-0.2448000000000005,-4.6568,295720.643,5.128279346061615,5.048622068824607,0.07965727723700766,0.08865429727686337,-0.01799404007971142,5.1339,5.19887,5.061455,4.970843333333334,4.881129166666667
2010-04-20,4.997,5.0969,4.927,5.0869,5.012,151601.68,0.0749000000000004,1.4944,152231.18,5.121913292821366,5.0514574711338955,0.07045582168747089,0.08501460215898488,-0.029117560943027976,5.1309,5.17638,5.0719449999999995,4.9766699999999995,4.894975
2010-04-21,5.0969,5.3218,5.052,5.2818,5.0869,231731.5,0.1948999999999996,3.8314,241784.391,5.146511247771925,5.068519880679533,0.07799136709239196,0.0836099551456663,-0.011237176106548674,5.14788,5.17938,5.09643,4.9881633333333335,4.9105895833333335
2010-04-22,5.2518,5.4967,5.2069,5.4267,5.2818,468775.2,0.1449000000000007,2.7434,506432.087,5.189617209653167,5.095051741369938,0.09456546828322931,0.08580105777317891,0.01752882102010081,5.21284,5.19936,5.12766,5.006483333333334,4.928910416666667
2010-04-23,5.4417,5.4667,5.2518,5.3568,5.4267,284771.57,-0.0699000000000005,-1.2881,305458.512,5.215337638937295,5.114440501268461,0.10089713766883435,0.08882027375231,0.0241537278330487,5.23284,5.204859999999999,5.15939,5.023306666666667,4.947545833333334
2010-04-26,5.3918,5.5117,5.3218,5.4467,5.3568,318037.72,0.0899,1.6782,344894.895,5.2509318483315575,5.139052315989315,0.11187953234224235,0.09343212547029647,0.03689481374389175,5.31978,5.22684,5.19287,5.047456666666666,4.9669083333333335
2010-04-27,5.4467,5.4467,5.1369,5.2069,5.4467,260635.93,-0.2397999999999998,-4.4027,273284.184,5.24415771781901,5.144078070360477,0.10007964745853304,0.09476162986794379,0.010636035181178505,5.343780000000001,5.23734,5.20761,5.067946666666667,4.97825625
2010-04-28,5.1369,5.2768,4.947,5.057,5.2069,282598.11,-0.1498999999999997,-2.8789,286362.051,5.2153642227699315,5.137627842926368,0.07773637984356352,0.09135657986306774,-0.027240400039008433,5.29882,5.22335,5.21261,5.082606666666667,4.986377083333333
2010-04-29,5.062,5.0919,4.9171,4.937,5.057,172906.81,-0.1200000000000001,-2.3729,173295.521,5.1725389577284036,5.122766521228119,0.049772436500284734,0.08303975119051114,-0.06653462938045282,5.20088,5.206860000000001,5.2131099999999995,5.088769999999999,4.989604166666666
2010-04-30,4.927,4.927,4.7022,4.8221,4.937,282827.56,-0.1149000000000004,-2.3273,271009.412,5.118625271924034,5.100494927063073,0.018130344860961323,0.07005786992460118,-0.10385505012727972,5.09394,5.16339,5.191625,5.090603333333333,4.991997916666667
2010-05-04,4.7472,4.8921,4.6972,4.8721,4.8221,93078.18,0.0499999999999998,1.0369,89727.111,5.080698307012645,5.0835767843176605,-0.002878477305015892,0.055470600478677766,-0.11669815556738732,4.97902,5.1494,5.174135,5.090770000000001,4.995120833333334
2010-05-05,4.7771,4.977,4.7721,4.957,4.8721,133916.73,0.0849000000000002,1.7426,131059.291,5.061667798241468,5.074200726220056,-0.012532927978587516,0.041869894787224714,-0.10880564553162446,4.92904,5.13641,5.156395,5.0934333333333335,4.998035416666666
2010-05-06,4.942,5.007,4.7721,4.8371,4.957,117986.3,-0.1198999999999994,-2.4188,116198.22,5.027118906204319,5.056637709463015,-0.029518803258695492,0.027592155178040676,-0.11422191687347233,4.88506,5.09194,5.13566,5.094933333333333,4.996889583333333
