,trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
0,20220325,301226.SZ,N祥明,电气设备,江苏,52.81,0.17,0.68,6.6,4.82,0.97,1.55,2.27,0.921,12.97,3.75,20220325,2.11,3.11,33.42,4.97,19.25,8.52,33945
1,20220325,603051.SH,N鹿山,塑料,广东,30.11,0.23,0.92,13.67,9.82,2.88,1.8,1.96,1.234,13.89,2.67,20220325,4.69,5.1,67.39,-1.93,14.81,6.7,33463
2,20220325,300464.SZ,星徽股份,机械基件,广东,0.0,3.12,3.53,39.91,20.04,4.67,11.12,3.15,-0.13,5.46,1.46,20150610,4.51,1.28,-13.05,-117.31,32.9,-1.16,25760
3,20220325,300582.SZ,英飞特,半导体,浙江,25.5,2.17,2.97,21.76,9.03,4.51,4.29,1.45,0.55,4.55,4.1,20161228,6.27,2.11,51.03,114.34,33.64,15.25,31909
4,20220325,300612.SZ,宣亚国际,广告包装,北京,0.0,1.59,1.59,7.95,4.68,0.02,0.9,0.57,-0.1,1.71,13.76,20170215,0.49,0.31,61.27,-43.05,15.14,-2.66,12086
5,20220325,300209.SZ,天泽信息,互联网,湖南,0.0,3.75,4.22,30.67,17.54,0.88,32.93,7.8,-2.738,4.63,1.5,20110426,-16.86,-3.99,-55.37,-1688.04,52.36,-78.29,24584
6,20220325,301002.SZ,崧盛股份,电气设备,深圳,31.4,0.24,0.95,10.94,8.62,0.82,4.71,4.98,1.26,7.6,5.99,20210607,1.27,1.34,0.0,0.0,27.08,12.59,10817
7,20220325,300430.SZ,诚益通,电器仪表,北京,42.56,2.55,2.73,27.61,14.63,1.92,9.04,3.31,0.22,6.67,1.89,20150319,6.07,2.22,34.22,201.28,39.1,9.82,13597
8,20220325,300636.SZ,同和药业,化学制药,江西,67.4,1.69,2.06,18.18,6.63,4.17,2.51,1.22,0.32,3.99,7.27,20170331,3.32,1.61,26.13,10.0,30.16,15.55,10168
9,20220325,300824.SZ,北鼎股份,家用电器,深圳,36.77,0.96,2.17,9.77,8.06,0.51,2.6,1.2,0.499,3.3,5.57,20200619,2.03,0.93,20.84,8.11,49.45,12.81,14845
10,20220325,300458.SZ,全志科技,元器件,广东,34.13,2.6,3.31,32.5,26.05,1.14,6.47,1.96,1.18,8.44,6.34,20150515,14.29,4.32,47.85,121.16,40.55,24.61,50091
11,20220325,300819.SZ,聚杰微纤,化纤,江苏,55.12,0.29,0.99,9.46,4.6,3.3,5.07,5.1,0.32,8.11,2.92,20200312,1.8,1.8,20.29,122.66,19.86,9.12,11174
12,20220325,600603.SH,广汇物流,仓储物流,四川,8.82,12.53,12.57,149.16,79.77,2.29,0.42,0.03,0.48,4.27,0.94,19920113,39.72,3.16,-24.51,-30.46,44.2,17.27,30027
13,20220325,000863.SZ,三湘印象,区域地产,上海,11.5,11.9,12.25,76.19,60.65,0.59,26.78,2.19,0.27,3.89,1.04,19970925,12.6,1.03,-17.76,84.35,17.58,11.59,22132
14,20220325,002565.SZ,顺灏股份,造纸,上海,0.0,10.55,10.6,28.21,14.78,6.04,4.95,0.47,-0.009,1.83,2.92,20110318,2.7,0.25,2.12,-250.36,20.52,-0.86,52576
15,20220325,002354.SZ,天娱数科,互联网,辽宁,234.97,14.5,16.62,37.06,11.24,0.78,70.37,4.23,0.016,1.68,2.99,20100209,-58.91,-3.54,55.31,113.5,23.0,2.28,32701
16,20220325,600698.SH,湖南天雁,汽车配件,湖南,27983.47,7.38,10.64,10.96,8.93,1.6,5.27,0.5,0.0,0.73,7.59,19931206,-8.97,-0.84,5.54,-95.34,16.18,0.03,88144
17,20220325,603188.SH,亚邦股份,染料涂料,江苏,0.0,5.7,5.7,34.53,10.86,17.42,4.23,0.74,-0.23,3.89,1.46,20140909,10.2,1.79,-1.82,48.54,13.56,-25.8,21610
18,20220325,002336.SZ,人人乐,超市连锁,深圳,0.0,3.73,4.4,62.79,21.75,10.45,24.36,5.54,-1.45,1.9,3.91,20100113,-22.43,-5.1,-10.56,-116.7,23.44,-16.35,11145
19,20220325,600313.SH,农发种业,种植业,北京,0.0,10.19,10.82,31.35,19.65,5.76,4.2,0.39,-0.004,1.35,4.53,20010119,-0.55,-0.05,22.94,9.7,4.8,-0.17,90424
20,20220325,000965.SZ,天保基建,区域地产,天津,0.0,11.1,11.1,130.0,111.02,0.35,23.15,2.09,-0.066,4.78,1.33,20000406,16.4,1.48,-23.64,-173.36,38.72,-13.43,38303
21,20220325,002280.SZ,联络互动,软件服务,浙江,0.0,17.69,21.77,106.01,57.03,4.82,31.39,1.44,-0.13,0.75,4.69,20090821,-36.41,-1.67,10.05,-181.13,14.95,-2.3,105464
22,20220325,002127.SZ,南极电商,互联网,江苏,24.48,19.64,24.55,53.34,37.83,0.07,14.85,0.61,0.17,1.95,2.75,20070418,38.09,1.55,0.08,-44.15,21.87,14.53,150371
23,20220325,002157.SZ,正邦科技,农业综合,江西,0.0,23.25,31.46,595.36,246.17,158.41,116.25,3.69,-2.42,4.12,1.75,20070817,-12.95,-0.41,22.59,-240.39,-2.58,-19.08,166300
24,20220325,002613.SZ,北玻股份,专用机械,河南,317.54,5.71,9.37,24.41,17.52,3.63,2.14,0.23,0.022,1.6,5.87,20110830,2.78,0.3,42.04,35.58,17.32,1.95,42318
25,20220325,603058.SH,永吉股份,广告包装,贵州,19.46,4.19,4.19,16.41,8.84,3.11,1.06,0.25,0.32,2.63,3.16,20161223,4.85,1.16,-2.87,23.28,27.73,48.56,15262
26,20220325,300592.SZ,华凯创意,文教休闲,湖南,0.0,1.28,2.89,30.87,17.47,2.9,17.61,6.09,-0.09,7.55,2.21,20170120,1.24,0.43,737.81,15.18,57.4,-1.56,6444
27,20220325,002166.SZ,莱茵生物,中成药,广西,52.51,4.6,5.65,30.07,15.42,6.23,6.04,1.07,0.15,3.27,3.32,20070913,6.32,1.12,60.56,32.61,29.49,12.3,48308
28,20220325,002868.SZ,绿康生化,农业综合,福建,0.0,1.55,1.55,11.98,2.67,1.84,3.4,2.19,-0.04,4.75,2.54,20170503,2.17,1.4,4.64,-113.81,22.51,-2.37,9200
29,20220325,600007.SH,中国国贸,园区开发,北京,14.73,10.07,10.07,125.98,31.77,16.9,18.73,1.86,0.77,8.33,1.82,19990312,50.02,4.97,19.2,26.65,56.73,29.12,20722
30,20220325,600689.SH,上海三毛,纺织,上海,154.72,1.52,2.01,6.81,4.75,0.16,2.12,1.05,0.05,2.17,4.35,19931108,-0.21,-0.11,-14.89,199.98,6.6,1.66,27220
31,20220325,000736.SZ,中交地产,全国地产,重庆,2785.54,6.95,6.95,1457.01,1384.97,1.07,1.31,0.19,0.003,4.36,2.22,19970425,21.33,3.07,-25.43,-99.37,21.94,0.03,10348
32,20220325,002020.SZ,京新药业,化学制药,浙江,16.66,7.01,9.05,61.43,31.52,9.41,21.93,2.42,0.54,5.31,1.98,20040715,17.52,1.94,1.33,15.21,55.83,17.39,41145
33,20220325,600340.SH,华夏幸福,区域地产,河北,0.0,38.93,39.14,4657.0,4145.11,78.92,0.0,0.0,-3.73,8.0,0.47,20031230,242.19,6.19,-49.9,-284.84,9.02,-47.34,157661
34,20220325,002803.SZ,吉宏股份,互联网,福建,17.12,2.84,3.87,29.47,19.34,7.23,3.85,0.99,0.66,4.88,2.99,20160712,13.49,3.48,19.61,-42.76,40.05,6.44,33085
35,20220325,000705.SZ,浙江震元,医药商业,浙江,44.42,2.82,3.34,27.99,17.24,4.46,5.33,1.6,0.171,5.43,1.86,19970410,7.52,2.25,6.43,-18.38,20.23,2.16,25103
36,20220325,000505.SZ,京粮控股,食品,海南,44.86,6.21,7.27,57.01,34.01,10.68,16.75,2.3,0.18,3.9,2.7,19921221,3.15,0.43,46.43,11.73,6.48,1.54,52000
37,20220325,600281.SH,华阳新材,综合类,山西,0.0,5.14,5.14,7.29,4.95,0.88,5.78,1.12,-0.022,1.0,5.59,20001109,-6.31,-1.23,-26.38,-434.75,21.22,-4.58,25774
38,20220325,002194.SZ,武汉凡谷,通信设备,湖北,34.03,6.36,6.81,28.59,21.78,3.37,7.68,1.13,0.26,3.3,3.49,20071207,5.11,0.75,25.33,9.09,25.28,12.47,72486
39,20220325,002566.SZ,益盛药业,中成药,吉林,44.7,2.32,3.31,27.82,21.67,3.72,8.35,2.52,0.197,6.2,1.9,20110318,7.75,2.34,9.69,20.42,75.09,9.69,23875
40,20220325,603999.SH,读者传媒,出版业,甘肃,43.76,5.76,5.76,22.8,15.29,2.2,2.45,0.43,0.11,3.11,2.08,20151210,8.81,1.53,17.47,12.17,17.87,8.18,26912
41,20220325,000534.SZ,万泽股份,生物制药,广东,59.58,4.92,5.01,20.31,5.9,6.14,0.05,0.01,0.17,2.09,6.47,19940110,5.56,1.11,26.11,22.34,79.74,18.14,16873
42,20220325,002910.SZ,庄园牧场,乳制品,甘肃,75.9,1.71,2.32,26.95,5.86,10.98,8.47,3.64,0.14,6.97,2.02,20171031,5.11,2.2,39.85,418.81,28.15,4.39,20198
43,20220325,600137.SH,浪莎股份,服饰,四川,71.51,0.97,0.97,6.57,5.15,0.68,3.42,3.52,0.17,5.35,2.95,19980416,0.67,0.69,27.79,12.38,15.85,6.48,10660
44,20220325,605507.SH,国邦医药,化学制药,浙江,28.46,0.84,5.59,77.11,48.92,15.95,36.07,6.46,1.06,11.53,3.07,20210802,22.49,4.02,0.0,0.0,30.94,16.22,47817
45,20220325,603399.SH,吉翔股份,小金属,辽宁,244.3,5.08,5.09,27.36,18.63,2.59,14.11,2.77,0.08,3.79,7.26,20120824,-1.04,-0.2,79.01,128.55,7.02,1.45,23975
46,20220325,603219.SH,富佳股份,家用电器,浙江,28.84,0.41,4.01,19.13,12.86,3.65,1.2,0.3,0.492,3.16,5.97,20211122,4.25,1.06,0.0,0.0,16.4,10.37,49952
47,20220325,603056.SH,德邦股份,仓储物流,上海,558.8,9.6,10.27,147.62,49.35,43.1,8.88,0.86,0.03,5.81,3.48,20180116,29.42,2.86,19.03,-90.6,10.16,0.12,29673
48,20220325,603209.SH,兴通股份,水运,福建,34.25,0.5,2.0,12.57,3.24,7.35,3.92,1.96,0.995,9.3,3.66,20220324,2.96,1.48,46.7,61.21,51.59,35.12,57590
49,20220325,603070.SH,万控智造,电气设备,浙江,81.69,0.6,4.01,22.45,16.96,3.56,4.21,1.05,0.474,4.5,8.61,20220310,5.17,1.29,27.88,7.15,28.46,8.8,67035
50,20220325,603261.SH,立航科技,航空,四川,63.41,0.19,0.77,7.36,5.93,0.63,1.84,2.39,0.959,11.21,5.42,20220315,2.49,3.24,5.73,6.48,49.35,23.83,19232
51,20220325,603335.SH,迪生力,汽车配件,广东,94.66,4.28,4.28,13.41,7.51,2.7,0.19,0.04,0.08,1.42,5.19,20170620,1.46,0.34,33.62,-44.59,22.99,2.56,36565
52,20220325,600207.SH,安彩高科,供气供热,河南,29.86,8.63,8.63,46.2,17.48,15.25,28.49,3.3,0.243,2.18,3.33,19990714,-22.24,-2.58,45.74,88.87,15.38,6.28,38503
53,20220325,002657.SZ,中科金财,软件服务,北京,0.0,2.85,3.38,30.53,22.74,0.71,17.73,5.25,-0.12,6.54,2.35,20120228,0.3,0.09,16.73,-16.4,16.85,-4.37,47495
54,20220325,002424.SZ,贵州百灵,中成药,贵州,65.61,9.36,14.11,65.84,38.17,8.19,1.36,0.1,0.09,2.78,2.69,20100603,21.13,1.5,-1.86,-25.05,61.24,6.1,81188
55,20220325,002864.SZ,盘龙药业,中成药,陕西,51.66,0.55,0.87,12.71,9.2,1.16,2.72,3.13,0.85,8.9,6.53,20171116,4.03,4.65,37.97,10.74,60.6,11.74,15751
56,20220325,002287.SZ,奇正藏药,中成药,西藏,17.98,5.28,5.3,50.92,31.43,5.56,4.72,0.89,1.22,6.1,4.8,20090828,16.62,3.13,16.37,99.81,85.37,54.44,31407
57,20220325,001207.SZ,联科科技,化工原料,山东,22.66,0.46,1.84,17.55,11.48,4.63,7.37,4.01,0.78,6.98,2.79,20210623,3.37,1.83,0.0,0.0,19.86,11.45,25155
58,20220325,605136.SH,丽人丽妆,其他商业,上海,18.31,1.96,4.02,34.34,31.21,0.34,7.59,1.89,1.03,6.69,2.8,20200929,14.68,3.65,-9.67,20.99,36.46,9.89,20805
