,ts_code,trade_time,open,close,high,low,vol,amount
0,000001.SZ,2022-04-08 15:00:00,16.4,16.4,16.4,16.4,1393700.0,22856680.0
1,000001.SZ,2022-04-08 14:59:00,16.4,16.4,16.4,16.4,0.0,0.0
2,000001.SZ,2022-04-08 14:58:00,16.4,16.4,16.4,16.4,0.0,0.0
3,000001.SZ,2022-04-08 14:57:00,16.38,16.4,16.4,16.38,526632.0,8631504.45
4,000001.SZ,2022-04-08 14:56:00,16.38,16.38,16.39,16.37,634830.0,10397984.4
5,000001.SZ,2022-04-08 14:55:00,16.38,16.38,16.38,16.37,593314.0,9714673.18
6,000001.SZ,2022-04-08 14:54:00,16.37,16.37,16.38,16.37,389500.0,6378359.0
7,000001.SZ,2022-04-08 14:53:00,16.37,16.37,16.38,16.37,377200.0,6176945.0
8,000001.SZ,2022-04-08 14:52:00,16.37,16.36,16.37,16.36,374600.0,6130545.0
9,000001.SZ,2022-04-08 14:51:00,16.37,16.37,16.38,16.37,428205.0,7011386.85
10,000001.SZ,2022-04-08 14:50:00,16.37,16.38,16.38,16.37,236495.0,3871889.15
11,000001.SZ,2022-04-08 14:49:00,16.37,16.37,16.38,16.36,305900.0,5007064.0
12,000001.SZ,2022-04-08 14:48:00,16.37,16.37,16.38,16.37,311500.0,5099738.0
13,000001.SZ,2022-04-08 14:47:00,16.37,16.36,16.38,16.36,308900.0,5057539.0
14,000001.SZ,2022-04-08 14:46:00,16.38,16.37,16.38,16.36,417900.0,6845152.42
15,000001.SZ,2022-04-08 14:45:00,16.39,16.37,16.39,16.37,240471.0,3938495.98
16,000001.SZ,2022-04-08 14:44:00,16.4,16.39,16.4,16.39,247400.0,4056128.0
17,000001.SZ,2022-04-08 14:43:00,16.4,16.39,16.41,16.39,431310.0,7073713.0
18,000001.SZ,2022-04-08 14:42:00,16.37,16.4,16.4,16.37,1219119.0,19988804.02
19,000001.SZ,2022-04-08 14:41:00,16.38,16.37,16.39,16.37,175700.0,2877879.0
20,000001.SZ,2022-04-08 14:40:00,16.38,16.38,16.38,16.37,246300.0,4033680.0
21,000001.SZ,2022-04-08 14:39:00,16.36,16.37,16.38,16.36,499000.0,8172876.0
22,000001.SZ,2022-04-08 14:38:00,16.37,16.36,16.38,16.35,567800.0,9294129.0
23,000001.SZ,2022-04-08 14:37:00,16.37,16.37,16.38,16.37,474600.0,7769912.0
24,000001.SZ,2022-04-08 14:36:00,16.36,16.37,16.37,16.34,285300.0,4668450.0
25,000001.SZ,2022-04-08 14:35:00,16.34,16.36,16.37,16.34,407000.0,6659904.0
26,000001.SZ,2022-04-08 14:34:00,16.35,16.35,16.36,16.34,230200.0,3763492.0
27,000001.SZ,2022-04-08 14:33:00,16.35,16.34,16.37,16.34,575400.0,9407435.0
28,000001.SZ,2022-04-08 14:32:00,16.37,16.35,16.37,16.34,568000.0,9298586.0
29,000001.SZ,2022-04-08 14:31:00,16.36,16.36,16.38,16.35,702400.0,11498145.16
30,000001.SZ,2022-04-08 14:30:00,16.36,16.36,16.37,16.36,119500.0,1955647.0
31,000001.SZ,2022-04-08 14:29:00,16.36,16.37,16.37,16.36,142600.0,2333385.0
32,000001.SZ,2022-04-08 14:28:00,16.36,16.36,16.37,16.36,160600.0,2628068.0
33,000001.SZ,2022-04-08 14:27:00,16.36,16.36,16.36,16.35,282300.0,4617406.0
34,000001.SZ,2022-04-08 14:26:00,16.36,16.36,16.36,16.35,187340.0,3064369.0
35,000001.SZ,2022-04-08 14:25:00,16.35,16.35,16.36,16.35,137500.0,2248697.0
36,000001.SZ,2022-04-08 14:24:00,16.35,16.35,16.36,16.35,211000.0,3451333.0
37,000001.SZ,2022-04-08 14:23:00,16.35,16.35,16.35,16.34,172200.0,2814835.0
38,000001.SZ,2022-04-08 14:22:00,16.35,16.35,16.36,16.34,199600.0,3262991.0
39,000001.SZ,2022-04-08 14:21:00,16.35,16.34,16.35,16.34,241800.0,3952985.0
40,000001.SZ,2022-04-08 14:20:00,16.33,16.35,16.36,16.32,238200.0,3892984.0
41,000001.SZ,2022-04-08 14:19:00,16.32,16.32,16.33,16.32,264265.0,4314557.8
42,000001.SZ,2022-04-08 14:18:00,16.32,16.32,16.33,16.32,96200.0,1570290.0
43,000001.SZ,2022-04-08 14:17:00,16.33,16.32,16.34,16.32,278000.0,4539702.35
44,000001.SZ,2022-04-08 14:16:00,16.35,16.33,16.35,16.33,163800.0,2676324.0
45,000001.SZ,2022-04-08 14:15:00,16.34,16.34,16.35,16.34,218000.0,3562655.0
46,000001.SZ,2022-04-08 14:14:00,16.35,16.34,16.36,16.34,158100.0,2584978.0
47,000001.SZ,2022-04-08 14:13:00,16.35,16.35,16.36,16.35,284800.0,4657605.0
48,000001.SZ,2022-04-08 14:12:00,16.36,16.35,16.37,16.35,162600.0,2659818.0
49,000001.SZ,2022-04-08 14:11:00,16.36,16.36,16.37,16.36,211600.0,3462778.0
50,000001.SZ,2022-04-08 14:10:00,16.37,16.36,16.38,16.36,141300.0,2312583.0
51,000001.SZ,2022-04-08 14:09:00,16.37,16.37,16.38,16.37,189300.0,3099101.0
52,000001.SZ,2022-04-08 14:08:00,16.37,16.36,16.38,16.36,238700.0,3907157.0
53,000001.SZ,2022-04-08 14:07:00,16.38,16.37,16.39,16.37,187100.0,3065151.0
54,000001.SZ,2022-04-08 14:06:00,16.37,16.37,16.38,16.37,143800.0,2354855.0
55,000001.SZ,2022-04-08 14:05:00,16.38,16.37,16.38,16.37,95000.0,1555694.0
56,000001.SZ,2022-04-08 14:04:00,16.39,16.38,16.39,16.37,155000.0,2539839.0
57,000001.SZ,2022-04-08 14:03:00,16.39,16.39,16.4,16.38,403000.0,6603015.0
58,000001.SZ,2022-04-08 14:02:00,16.4,16.4,16.41,16.39,547000.0,8968923.61
59,000001.SZ,2022-04-08 14:01:00,16.42,16.4,16.42,16.4,344900.0,5659439.0
60,000001.SZ,2022-04-08 14:00:00,16.41,16.41,16.42,16.4,505900.0,8304084.0
61,000001.SZ,2022-04-08 13:59:00,16.41,16.42,16.42,16.41,396200.0,6503806.0
62,000001.SZ,2022-04-08 13:58:00,16.39,16.41,16.41,16.39,1277439.0,20953173.6
63,000001.SZ,2022-04-08 13:57:00,16.39,16.39,16.4,16.38,450500.0,7385956.0
64,000001.SZ,2022-04-08 13:56:00,16.39,16.39,16.39,16.38,266900.0,4372508.0
65,000001.SZ,2022-04-08 13:55:00,16.39,16.38,16.4,16.38,220300.0,3611002.0
66,000001.SZ,2022-04-08 13:54:00,16.39,16.39,16.4,16.39,251100.0,4115996.0
67,000001.SZ,2022-04-08 13:53:00,16.38,16.39,16.4,16.38,376800.0,6175176.0
68,000001.SZ,2022-04-08 13:52:00,16.37,16.38,16.39,16.36,369967.0,6059189.46
69,000001.SZ,2022-04-08 13:51:00,16.38,16.37,16.38,16.37,185700.0,3040892.0
70,000001.SZ,2022-04-08 13:50:00,16.37,16.37,16.38,16.37,244400.0,3999967.31
71,000001.SZ,2022-04-08 13:49:00,16.36,16.38,16.38,16.36,366169.0,5995823.53
72,000001.SZ,2022-04-08 13:48:00,16.37,16.37,16.38,16.36,185800.0,3041713.0
73,000001.SZ,2022-04-08 13:47:00,16.37,16.37,16.38,16.37,212800.0,3484538.0
74,000001.SZ,2022-04-08 13:46:00,16.37,16.37,16.38,16.37,172200.0,2819743.0
75,000001.SZ,2022-04-08 13:45:00,16.37,16.38,16.38,16.36,272700.0,4464512.0
76,000001.SZ,2022-04-08 13:44:00,16.35,16.37,16.37,16.35,240200.0,3929276.0
77,000001.SZ,2022-04-08 13:43:00,16.36,16.35,16.36,16.35,185400.0,3031501.0
78,000001.SZ,2022-04-08 13:42:00,16.38,16.35,16.38,16.35,169400.0,2772313.0
79,000001.SZ,2022-04-08 13:41:00,16.38,16.37,16.39,16.37,250100.0,4097124.0
80,000001.SZ,2022-04-08 13:40:00,16.36,16.38,16.39,16.36,325300.0,5330098.0
81,000001.SZ,2022-04-08 13:39:00,16.35,16.37,16.38,16.35,513300.0,8407539.0
82,000001.SZ,2022-04-08 13:38:00,16.36,16.35,16.36,16.35,140200.0,2293074.0
83,000001.SZ,2022-04-08 13:37:00,16.38,16.36,16.39,16.36,587600.0,9620306.0
84,000001.SZ,2022-04-08 13:36:00,16.38,16.38,16.39,16.38,377700.0,6188101.0
85,000001.SZ,2022-04-08 13:35:00,16.39,16.39,16.39,16.38,280000.0,4588963.0
86,000001.SZ,2022-04-08 13:34:00,16.4,16.39,16.4,16.38,147700.0,2420433.0
87,000001.SZ,2022-04-08 13:33:00,16.39,16.38,16.4,16.38,499000.0,8176831.0
88,000001.SZ,2022-04-08 13:32:00,16.39,16.38,16.4,16.38,239400.0,3923826.0
89,000001.SZ,2022-04-08 13:31:00,16.39,16.4,16.4,16.38,260100.0,4263191.0
90,000001.SZ,2022-04-08 13:30:00,16.39,16.38,16.4,16.38,366900.0,6014463.0
91,000001.SZ,2022-04-08 13:29:00,16.39,16.4,16.4,16.38,301900.0,4948352.0
92,000001.SZ,2022-04-08 13:28:00,16.38,16.39,16.39,16.38,177200.0,2903727.0
93,000001.SZ,2022-04-08 13:27:00,16.37,16.38,16.38,16.37,399100.0,6536779.0
94,000001.SZ,2022-04-08 13:26:00,16.37,16.37,16.38,16.37,203400.0,3330380.0
95,000001.SZ,2022-04-08 13:25:00,16.39,16.38,16.4,16.38,568300.0,9313216.0
96,000001.SZ,2022-04-08 13:24:00,16.37,16.39,16.39,16.37,184100.0,3014888.0
97,000001.SZ,2022-04-08 13:23:00,16.37,16.37,16.38,16.36,299800.0,4907934.0
98,000001.SZ,2022-04-08 13:22:00,16.38,16.37,16.38,16.37,221100.0,3621429.0
99,000001.SZ,2022-04-08 13:21:00,16.4,16.38,16.41,16.38,494900.0,8115500.0
100,000001.SZ,2022-04-08 13:20:00,16.41,16.4,16.41,16.4,747539.0,12263338.6
101,000001.SZ,2022-04-08 13:19:00,16.38,16.38,16.39,16.37,1644300.0,26939759.0
102,000001.SZ,2022-04-08 13:18:00,16.37,16.38,16.38,16.37,457800.0,7496730.0
103,000001.SZ,2022-04-08 13:17:00,16.36,16.38,16.38,16.36,691000.0,11305708.0
104,000001.SZ,2022-04-08 13:16:00,16.33,16.34,16.35,16.32,238200.0,3891029.0
105,000001.SZ,2022-04-08 13:15:00,16.33,16.32,16.33,16.32,319800.0,5220683.0
106,000001.SZ,2022-04-08 13:14:00,16.29,16.33,16.33,16.29,397900.0,6490590.0
107,000001.SZ,2022-04-08 13:13:00,16.3,16.29,16.3,16.28,184500.0,3005751.0
108,000001.SZ,2022-04-08 13:12:00,16.3,16.3,16.3,16.29,212100.0,3456265.0
109,000001.SZ,2022-04-08 13:11:00,16.28,16.3,16.3,16.28,287500.0,4684190.0
110,000001.SZ,2022-04-08 13:10:00,16.25,16.28,16.29,16.25,197500.0,3211839.0
111,000001.SZ,2022-04-08 13:09:00,16.25,16.25,16.26,16.24,109700.0,1782108.0
112,000001.SZ,2022-04-08 13:08:00,16.24,16.24,16.25,16.23,375300.0,6093986.0
113,000001.SZ,2022-04-08 13:07:00,16.25,16.24,16.25,16.24,131400.0,2134113.0
114,000001.SZ,2022-04-08 13:06:00,16.26,16.25,16.26,16.24,404600.0,6575755.0
115,000001.SZ,2022-04-08 13:05:00,16.26,16.26,16.27,16.26,239300.0,3891581.0
116,000001.SZ,2022-04-08 13:04:00,16.28,16.26,16.28,16.26,204600.0,3328593.0
117,000001.SZ,2022-04-08 13:03:00,16.29,16.27,16.3,16.27,607000.0,9889274.0
118,000001.SZ,2022-04-08 13:02:00,16.29,16.28,16.29,16.28,157400.0,2563093.0
119,000001.SZ,2022-04-08 13:01:00,16.22,16.28,16.29,16.21,665300.0,10814296.0
120,000001.SZ,2022-04-08 11:30:00,16.24,16.22,16.24,16.21,229400.0,3722538.0
121,000001.SZ,2022-04-08 11:29:00,16.24,16.23,16.24,16.23,387400.0,6292243.0
122,000001.SZ,2022-04-08 11:28:00,16.27,16.25,16.28,16.25,257300.0,4186263.0
123,000001.SZ,2022-04-08 11:27:00,16.28,16.27,16.28,16.26,191000.0,3107557.0
124,000001.SZ,2022-04-08 11:26:00,16.27,16.28,16.28,16.27,184900.0,3009481.0
125,000001.SZ,2022-04-08 11:25:00,16.26,16.27,16.28,16.26,98900.0,1608870.0
126,000001.SZ,2022-04-08 11:24:00,16.25,16.27,16.28,16.25,197200.0,3207009.0
127,000001.SZ,2022-04-08 11:23:00,16.24,16.25,16.25,16.23,105300.0,1710120.0
128,000001.SZ,2022-04-08 11:22:00,16.24,16.23,16.26,16.22,188900.0,3066549.0
129,000001.SZ,2022-04-08 11:21:00,16.2,16.25,16.25,16.2,300700.0,4876178.8
130,000001.SZ,2022-04-08 11:20:00,16.21,16.2,16.22,16.2,112700.0,1826635.0
131,000001.SZ,2022-04-08 11:19:00,16.2,16.2,16.21,16.2,220900.0,3579311.0
132,000001.SZ,2022-04-08 11:18:00,16.19,16.2,16.22,16.19,239300.0,3875930.0
133,000001.SZ,2022-04-08 11:17:00,16.2,16.2,16.2,16.19,169100.0,2739020.0
134,000001.SZ,2022-04-08 11:16:00,16.21,16.2,16.22,16.2,351300.0,5694240.0
135,000001.SZ,2022-04-08 11:15:00,16.25,16.21,16.25,16.21,104300.0,1692747.0
136,000001.SZ,2022-04-08 11:14:00,16.25,16.24,16.26,16.24,178100.0,2893755.0
137,000001.SZ,2022-04-08 11:13:00,16.21,16.25,16.25,16.2,442100.0,7177016.0
138,000001.SZ,2022-04-08 11:12:00,16.21,16.2,16.22,16.2,216700.0,3512489.0
139,000001.SZ,2022-04-08 11:11:00,16.2,16.2,16.2,16.19,256400.0,4154013.0
140,000001.SZ,2022-04-08 11:10:00,16.22,16.2,16.22,16.2,143400.0,2324062.0
141,000001.SZ,2022-04-08 11:09:00,16.2,16.21,16.24,16.2,265600.0,4304728.0
142,000001.SZ,2022-04-08 11:08:00,16.21,16.2,16.21,16.2,255500.0,4140992.0
143,000001.SZ,2022-04-08 11:07:00,16.2,16.21,16.23,16.19,632200.0,10240615.0
144,000001.SZ,2022-04-08 11:06:00,16.2,16.19,16.21,16.19,318700.0,5163091.0
145,000001.SZ,2022-04-08 11:05:00,16.22,16.19,16.22,16.19,280600.0,4546494.0
146,000001.SZ,2022-04-08 11:04:00,16.21,16.2,16.24,16.2,453000.0,7342511.0
147,000001.SZ,2022-04-08 11:03:00,16.22,16.2,16.23,16.2,353800.0,5736706.0
148,000001.SZ,2022-04-08 11:02:00,16.22,16.22,16.24,16.22,215800.0,3502050.0
149,000001.SZ,2022-04-08 11:01:00,16.2,16.22,16.24,16.2,188600.0,3058378.0
150,000001.SZ,2022-04-08 11:00:00,16.2,16.2,16.21,16.19,167100.0,2707293.0
151,000001.SZ,2022-04-08 10:59:00,16.19,16.19,16.24,16.19,274400.0,4447051.0
152,000001.SZ,2022-04-08 10:58:00,16.19,16.19,16.2,16.19,174100.0,2819814.0
153,000001.SZ,2022-04-08 10:57:00,16.19,16.2,16.21,16.19,317900.0,5150425.0
154,000001.SZ,2022-04-08 10:56:00,16.19,16.18,16.2,16.18,226400.0,3665739.0
155,000001.SZ,2022-04-08 10:55:00,16.21,16.18,16.21,16.18,346900.0,5617701.0
156,000001.SZ,2022-04-08 10:54:00,16.23,16.21,16.23,16.2,190368.0,3086261.64
157,000001.SZ,2022-04-08 10:53:00,16.2,16.23,16.24,16.2,170932.0,2773034.04
158,000001.SZ,2022-04-08 10:52:00,16.21,16.2,16.22,16.18,256300.0,4151887.0
159,000001.SZ,2022-04-08 10:51:00,16.2,16.21,16.22,16.18,448600.0,7263869.0
160,000001.SZ,2022-04-08 10:50:00,16.21,16.19,16.22,16.19,574100.0,9300494.0
161,000001.SZ,2022-04-08 10:49:00,16.23,16.21,16.25,16.21,398200.0,6462302.0
162,000001.SZ,2022-04-08 10:48:00,16.25,16.23,16.25,16.23,358200.0,5817249.0
163,000001.SZ,2022-04-08 10:47:00,16.25,16.25,16.25,16.24,372700.0,6056139.0
164,000001.SZ,2022-04-08 10:46:00,16.25,16.25,16.27,16.24,544200.0,8839443.0
165,000001.SZ,2022-04-08 10:45:00,16.21,16.24,16.24,16.2,270583.0,4390187.43
