,ts_code,symbol,name,area,industry,market,exchange,list_status,list_date,is_hs
0,300001.SZ,300001,特锐德,山东,电气设备,创业板,SZSE,L,20091030,S
1,300002.SZ,300002,神州泰岳,北京,软件服务,创业板,SZSE,L,20091030,S
2,300003.SZ,300003,乐普医疗,北京,医疗保健,创业板,SZSE,L,20091030,S
3,300006.SZ,300006,莱美药业,重庆,化学制药,创业板,SZSE,L,20091030,S
4,300007.SZ,300007,汉威科技,河南,电器仪表,创业板,SZSE,L,20091030,S
5,300008.SZ,300008,天海防务,上海,船舶,创业板,SZSE,L,20091030,S
6,300009.SZ,300009,安科生物,安徽,生物制药,创业板,SZSE,L,20091030,S
7,300012.SZ,300012,华测检测,深圳,电器仪表,创业板,SZSE,L,20091030,S
8,300014.SZ,300014,亿纬锂能,广东,电气设备,创业板,SZSE,L,20091030,S
9,300015.SZ,300015,爱尔眼科,湖南,医疗保健,创业板,SZSE,L,20091030,S
10,300017.SZ,300017,网宿科技,上海,电信运营,创业板,SZSE,L,20091030,S
11,300024.SZ,300024,机器人,辽宁,专用机械,创业板,SZSE,L,20091030,S
12,300026.SZ,300026,红日药业,天津,中成药,创业板,SZSE,L,20091030,S
13,300031.SZ,300031,宝通科技,江苏,互联网,创业板,SZSE,L,20091225,S
14,300033.SZ,300033,同花顺,浙江,软件服务,创业板,SZSE,L,20091225,S
15,300034.SZ,300034,钢研高纳,北京,航空,创业板,SZSE,L,20091225,S
16,300035.SZ,300035,中科电气,湖南,电气设备,创业板,SZSE,L,20091225,S
17,300036.SZ,300036,超图软件,北京,软件服务,创业板,SZSE,L,20091225,S
18,300037.SZ,300037,新宙邦,深圳,化工原料,创业板,SZSE,L,20100108,S
19,300045.SZ,300045,华力创通,北京,IT设备,创业板,SZSE,L,20100120,S
20,300053.SZ,300053,欧比特,广东,半导体,创业板,SZSE,L,20100211,S
21,300054.SZ,300054,鼎龙股份,湖北,化工原料,创业板,SZSE,L,20100211,S
22,300055.SZ,300055,万邦达,北京,环境保护,创业板,SZSE,L,20100226,S
23,300058.SZ,300058,蓝色光标,北京,广告包装,创业板,SZSE,L,20100226,S
24,300059.SZ,300059,东方财富,上海,证券,创业板,SZSE,L,20100319,S
25,300068.SZ,300068,南都电源,浙江,电气设备,创业板,SZSE,L,20100421,S
26,300070.SZ,300070,碧水源,北京,环境保护,创业板,SZSE,L,20100421,S
27,300072.SZ,300072,三聚环保,北京,环境保护,创业板,SZSE,L,20100427,S
28,300073.SZ,300073,当升科技,北京,电气设备,创业板,SZSE,L,20100427,S
29,300078.SZ,300078,思创医惠,浙江,软件服务,创业板,SZSE,L,20100430,S
30,300079.SZ,300079,数码视讯,北京,通信设备,创业板,SZSE,L,20100430,S
31,300080.SZ,300080,易成新能,河南,电气设备,创业板,SZSE,L,20100625,S
32,300082.SZ,300082,奥克股份,辽宁,化工原料,创业板,SZSE,L,20100520,S
33,300083.SZ,300083,创世纪,广东,机械基件,创业板,SZSE,L,20100520,S
34,300085.SZ,300085,银之杰,深圳,软件服务,创业板,SZSE,L,20100526,S
35,300087.SZ,300087,荃银高科,安徽,种植业,创业板,SZSE,L,20100526,S
36,300088.SZ,300088,长信科技,安徽,元器件,创业板,SZSE,L,20100526,S
37,300091.SZ,300091,金通灵,江苏,机械基件,创业板,SZSE,L,20100625,S
38,300101.SZ,300101,振芯科技,四川,通信设备,创业板,SZSE,L,20100806,S
39,300113.SZ,300113,顺网科技,浙江,互联网,创业板,SZSE,L,20100827,S
40,300114.SZ,300114,中航电测,陕西,电器仪表,创业板,SZSE,L,20100827,S
41,300115.SZ,300115,长盈精密,深圳,元器件,创业板,SZSE,L,20100902,S
42,300118.SZ,300118,东方日升,浙江,电气设备,创业板,SZSE,L,20100902,S
43,300119.SZ,300119,瑞普生物,天津,农业综合,创业板,SZSE,L,20100917,S
44,300122.SZ,300122,智飞生物,重庆,生物制药,创业板,SZSE,L,20100928,S
45,300123.SZ,300123,亚光科技,湖南,半导体,创业板,SZSE,L,20100928,S
46,300124.SZ,300124,汇川技术,深圳,电器仪表,创业板,SZSE,L,20100928,S
47,300127.SZ,300127,银河磁体,四川,元器件,创业板,SZSE,L,20101013,S
48,300131.SZ,300131,英唐智控,深圳,商贸代理,创业板,SZSE,L,20101019,S
