,ts_code,symbol,name,area,industry,market,exchange,list_date,is_hs
0,688001.SH,688001,华兴源创,江苏,专用机械,科创板,SSE,20190722,N
1,688002.SH,688002,睿创微纳,山东,通信设备,科创板,SSE,20190722,H
2,688003.SH,688003,天准科技,江苏,专用机械,科创板,SSE,20190722,N
3,688004.SH,688004,博汇科技,北京,软件服务,科创板,SSE,20200612,N
4,688005.SH,688005,容百科技,浙江,电气设备,科创板,SSE,20190722,H
5,688006.SH,688006,杭可科技,浙江,电气设备,科创板,SSE,20190722,H
6,688007.SH,688007,光峰科技,深圳,元器件,科创板,SSE,20190722,N
7,688008.SH,688008,澜起科技,上海,半导体,科创板,SSE,20190722,H
8,688009.SH,688009,中国通号,北京,运输设备,科创板,SSE,20190722,H
9,688010.SH,688010,福光股份,福建,电器仪表,科创板,SSE,20190722,N
10,688011.SH,688011,新光光电,黑龙江,元器件,科创板,SSE,20190722,N
11,688012.SH,688012,中微公司,上海,专用机械,科创板,SSE,20190722,H
12,688013.SH,688013,天臣医疗,江苏,医疗保健,科创板,SSE,20200928,N
13,688015.SH,688015,交控科技,北京,运输设备,科创板,SSE,20190722,N
14,688016.SH,688016,心脉医疗,上海,医疗保健,科创板,SSE,20190722,H
15,688017.SH,688017,绿的谐波,江苏,机械基件,科创板,SSE,20200828,N
16,688018.SH,688018,乐鑫科技,上海,半导体,科创板,SSE,20190722,N
17,688019.SH,688019,安集科技,上海,半导体,科创板,SSE,20190722,H
18,688020.SH,688020,方邦股份,广东,元器件,科创板,SSE,20190722,N
19,688021.SH,688021,奥福环保,山东,环境保护,科创板,SSE,20191106,N
20,688022.SH,688022,瀚川智能,江苏,专用机械,科创板,SSE,20190722,N
21,688023.SH,688023,安恒信息,浙江,软件服务,科创板,SSE,20191105,N
22,688025.SH,688025,杰普特,深圳,元器件,科创板,SSE,20191031,N
23,688026.SH,688026,洁特生物,广东,塑料,科创板,SSE,20200122,H
24,688027.SH,688027,国盾量子,安徽,通信设备,科创板,SSE,20200709,N
25,688028.SH,688028,沃尔德,北京,专用机械,科创板,SSE,20190722,N
26,688029.SH,688029,南微医学,江苏,医疗保健,科创板,SSE,20190722,N
27,688030.SH,688030,山石网科,江苏,软件服务,科创板,SSE,20190930,N
28,688032.SH,688032,禾迈股份,浙江,电气设备,科创板,SSE,20211220,N
29,688033.SH,688033,天宜上佳,北京,运输设备,科创板,SSE,20190722,N
30,688036.SH,688036,传音控股,深圳,通信设备,科创板,SSE,20190930,H
31,688037.SH,688037,芯源微,辽宁,半导体,科创板,SSE,20191216,N
32,688038.SH,688038,中科通达,湖北,软件服务,科创板,SSE,20210713,N
33,688039.SH,688039,当虹科技,浙江,软件服务,科创板,SSE,20191211,N
34,688049.SH,688049,炬芯科技-U,广东,半导体,科创板,SSE,20211129,N
35,688050.SH,688050,爱博医疗,北京,医疗保健,科创板,SSE,20200729,N
36,688051.SH,688051,佳华科技,北京,软件服务,科创板,SSE,20200320,N
37,688055.SH,688055,龙腾光电,江苏,元器件,科创板,SSE,20200817,H
38,688056.SH,688056,莱伯泰科,北京,电器仪表,科创板,SSE,20200902,N
39,688057.SH,688057,金达莱,江西,环境保护,科创板,SSE,20201111,N
40,688058.SH,688058,宝兰德,北京,软件服务,科创板,SSE,20191101,N
41,688059.SH,688059,华锐精密,湖南,机械基件,科创板,SSE,20210208,N
42,688060.SH,688060,云涌科技,江苏,软件服务,科创板,SSE,20200710,N
43,688062.SH,688062,迈威生物-U,上海,生物制药,科创板,SSE,20220118,N
44,688063.SH,688063,派能科技,上海,电气设备,科创板,SSE,20201230,N
45,688065.SH,688065,凯赛生物,上海,化纤,科创板,SSE,20200812,N
46,688066.SH,688066,航天宏图,北京,软件服务,科创板,SSE,20190722,N
47,688067.SH,688067,爱威科技,湖南,医疗保健,科创板,SSE,20210616,N
48,688068.SH,688068,热景生物,北京,医疗保健,科创板,SSE,20190930,N
49,688069.SH,688069,德林海,江苏,环境保护,科创板,SSE,20200722,N
50,688070.SH,688070,纵横股份,四川,航空,科创板,SSE,20210210,N
51,688071.SH,688071,华依科技,上海,专用机械,科创板,SSE,20210729,N
52,688075.SH,688075,安旭生物,浙江,医疗保健,科创板,SSE,20211118,N
53,688076.SH,688076,诺泰生物,江苏,生物制药,科创板,SSE,20210520,N
54,688077.SH,688077,大地熊,安徽,元器件,科创板,SSE,20200722,N
55,688078.SH,688078,龙软科技,北京,软件服务,科创板,SSE,20191230,N
56,688079.SH,688079,美迪凯,浙江,半导体,科创板,SSE,20210302,N
57,688080.SH,688080,映翰通,北京,通信设备,科创板,SSE,20200212,N
58,688081.SH,688081,兴图新科,湖北,软件服务,科创板,SSE,20200106,N
59,688082.SH,688082,盛美上海,上海,半导体,科创板,SSE,20211118,N
60,688083.SH,688083,中望软件,广东,软件服务,科创板,SSE,20210311,N
61,688085.SH,688085,三友医疗,上海,医疗保健,科创板,SSE,20200409,N
62,688086.SH,688086,紫晶存储,广东,IT设备,科创板,SSE,20200226,N
63,688087.SH,688087,英科再生,山东,环境保护,科创板,SSE,20210709,N
64,688088.SH,688088,虹软科技,浙江,软件服务,科创板,SSE,20190722,H
65,688089.SH,688089,嘉必优,湖北,食品,科创板,SSE,20191219,N
66,688090.SH,688090,瑞松科技,广东,专用机械,科创板,SSE,20200217,N
