,ts_code,hs_type,in_date,out_date,is_new
0,002910.SZ,SZ,20171114,,1
1,000016.SZ,SZ,20180102,,1
2,001872.SZ,SZ,20180102,,1
3,000040.SZ,SZ,20180102,,1
4,000401.SZ,SZ,20180102,,1
5,000429.SZ,SZ,20180102,,1
6,000553.SZ,SZ,20180102,,1
7,000560.SZ,SZ,20180102,,1
8,000710.SZ,SZ,20180102,,1
9,000723.SZ,SZ,20180102,,1
10,000951.SZ,SZ,20180102,,1
11,000968.SZ,SZ,20180102,,1
12,002061.SZ,SZ,20180102,,1
13,002507.SZ,SZ,20180102,,1
14,002530.SZ,SZ,20180102,,1
15,002537.SZ,SZ,20180102,,1
16,002545.SZ,SZ,20180102,,1
17,002611.SZ,SZ,20180102,,1
18,002648.SZ,SZ,20180102,,1
19,002747.SZ,SZ,20180102,,1
20,002812.SZ,SZ,20180102,,1
21,002839.SZ,SZ,20180102,,1
22,002841.SZ,SZ,20180102,,1
23,002859.SZ,SZ,20180102,,1
24,002867.SZ,SZ,20180102,,1
25,300308.SZ,SZ,20180102,,1
26,300457.SZ,SZ,20180102,,1
27,300616.SZ,SZ,20180102,,1
28,300618.SZ,SZ,20180102,,1
29,300628.SZ,SZ,20180102,,1
30,300666.SZ,SZ,20180102,,1
31,002936.SZ,SZ,20181011,,1
32,000301.SZ,SZ,20180703,,1
33,000537.SZ,SZ,20180703,,1
34,000546.SZ,SZ,20180703,,1
35,000789.SZ,SZ,20180703,,1
36,000831.SZ,SZ,20180703,,1
37,000932.SZ,SZ,20180703,,1
38,000935.SZ,SZ,20180703,,1
39,001965.SZ,SZ,20180703,,1
40,002258.SZ,SZ,20180703,,1
41,002382.SZ,SZ,20180703,,1
42,002409.SZ,SZ,20180703,,1
43,002430.SZ,SZ,20180703,,1
44,002511.SZ,SZ,20180703,,1
45,002677.SZ,SZ,20180703,,1
46,002807.SZ,SZ,20180703,,1
47,002901.SZ,SZ,20180703,,1
48,002907.SZ,SZ,20180703,,1
49,002911.SZ,SZ,20180703,,1
50,002912.SZ,SZ,20180703,,1
51,002913.SZ,SZ,20180703,,1
52,002916.SZ,SZ,20180703,,1
53,002920.SZ,SZ,20180703,,1
54,300232.SZ,SZ,20180703,,1
55,300298.SZ,SZ,20180703,,1
56,300349.SZ,SZ,20180703,,1
57,300357.SZ,SZ,20180703,,1
58,300482.SZ,SZ,20180703,,1
59,300529.SZ,SZ,20180703,,1
60,300567.SZ,SZ,20180703,,1
61,300601.SZ,SZ,20180703,,1
62,300676.SZ,SZ,20180703,,1
63,300679.SZ,SZ,20180703,,1
64,300685.SZ,SZ,20180703,,1
65,300699.SZ,SZ,20180703,,1
66,300725.SZ,SZ,20180703,,1
67,300726.SZ,SZ,20180703,,1
68,300735.SZ,SZ,20180703,,1
69,000025.SZ,SZ,20170703,,1
70,000617.SZ,SZ,20170703,,1
71,000717.SZ,SZ,20170703,,1
72,000818.SZ,SZ,20170703,,1
73,000877.SZ,SZ,20170703,,1
74,000933.SZ,SZ,20170703,,1
75,000976.SZ,SZ,20170703,,1
76,000980.SZ,SZ,20170703,,1
77,002110.SZ,SZ,20170703,,1
78,002506.SZ,SZ,20170703,,1
