symbol,trade_date,pct_change,sz_max_10,diff,dea,jx_days_ud60,jx_dg_120,jx_dg_60,jx_dg_20,jx_dg_10,jx_dg_5,jx_zs_5,jx_zs_10,jx_zs_20,jx_zs_60,pct_fl_1_3,pct_fl_3_10,pct_fl_20_60,sz_jt_20
000001,2021-05-26,1.7,0.0,0.59643,0.524627,0,0.140466,0.1374,0.236496,0.403953,0.685475,2,2,24,23,1.39673,1.52929,0.659496,0
000001,2021-05-25,4.88,1.70195,0.523062,0.506677,0,0.124502,0.116404,0.224977,0.310079,0.34444,1,1,23,22,2.20176,1.27165,0.640275,0
000001,2021-04-21,6.29,4.6595,-0.0271656,-0.17729,0,0.127929,0.0298715,0.24746,0.383684,1.30119,3,3,2,1,1.64053,2.1314,0.556668,0
000001,2021-02-02,-5.32,7.39265,1.11219,0.983937,0,0.267288,0.272577,0.693432,0.24315,0.459933,0,20,20,20,1.77954,1.60579,1.5306,0
000001,2020-12-01,1.63,0.0,0.715364,0.609479,0,0.209378,0.291897,0.335557,0.682719,0.417901,4,11,11,81,1.08232,1.33385,0.899308,0
000001,2020-11-19,2.19,6.60793,0.421923,0.428621,0,0.203179,0.229356,0.215296,0.383411,0.790557,3,3,3,73,1.08855,1.23652,0.95141,0
000001,2020-10-20,0.36,3.50148,0.548727,0.342505,0,0.168453,0.188746,0.423383,0.824689,1.04342,9,7,7,51,0.466993,1.46778,0.780755,0
000001,2020-10-19,2.32,3.87135,0.473812,0.29095,0,0.170367,0.225087,0.470329,0.859241,1.13456,8,6,6,50,1.09107,1.88366,0.752865,0
000001,2020-10-16,3.4,6.27666,0.377412,0.245234,0,0.164836,0.199589,0.337911,0.754249,1.40647,7,5,5,49,1.85237,1.4472,0.710991,0
000001,2020-10-13,1.05,13.4678,0.192887,0.185755,0,0.132065,0.0797801,0.217743,0.0779375,0.583361,4,2,2,46,0.729455,1.28932,0.647411,1
000001,2020-10-12,4.97,14.6614,0.147699,0.183972,0,0.119456,0.0710145,0.183446,-0.0663371,0.557931,3,1,1,45,1.50306,1.48354,0.641745,2
000001,2020-09-02,1.25,0.820232,0.282343,0.22226,0,0.0289661,0.12161,0.32157,0.0895882,0.759316,4,4,18,23,1.2865,1.25016,0.842892,0
000001,2020-08-12,1.86,5.91673,0.0308111,-0.0129909,0,-0.0222799,0.103214,0.0238814,0.36666,0.533289,3,7,3,8,0.762015,1.37777,1.19269,0
000001,2020-07-06,10.55,0.533689,0.247787,0.00158098,0,-0.0351888,0.252416,0.481869,1.32736,2.50504,7,6,4,4,1.48186,2.85534,1.80814,0
